"product_name","nickname","amount","currency","interval","price_id"
"RinaWarp Terminal Pro — Lifetime","Lifetime 99","99900","usd","one_time","price_1SKxH8GZrRdZy3W9vwBlJjoK"
"RinaWarp Terminal Pro — Lifetime","Lifetime 99","79900","usd","one_time","price_1SKxFWGZrRdZy3W9S31RPBeK"
"RinaWarp Terminal Pro — Team Seat Addon","Team Seat Addon","1500","usd","month","price_1SKxFPGZrRdZy3W9fSMIXrIx"
"RinaWarp Terminal Pro — Team","Team Yearly","79900","usd","year","price_1SKxFDGZrRdZy3W9eqTQCKXd"
"RinaWarp Terminal Pro — Team","Team Monthly","9900","usd","month","price_1SKxF5GZrRdZy3W9Ck4Z8AJ2"
"RinaWarp Terminal Pro — Pro","Pro Yearly","31900","usd","year","price_1SKxElGZrRdZy3W9INymT4g8"
"RinaWarp Terminal Pro — Pro","Pro Monthly","3900","usd","month","price_1SKxEQGZrRdZy3W9j0HEkQgn"
"RinaWarp Terminal Pro — Standard","Standard Yearly","15900","usd","year","price_1SKxDWGZrRdZy3W9jU6O0uUk"
"RinaWarp Terminal Pro — Standard","Standard Monthly","1900","usd","month","price_1SKxDPGZrRdZy3W9ORznzocH"
"RinaWarp Studio Bundle","Studio Bundle Yearly","224900","usd","year","price_1SKt33GZrRdZy3W9YPqJvdga"
"RinaWarp Studio Bundle","Studio Bundle Monthly","24900","usd","month","price_1SKt33GZrRdZy3W9QqShpZQb"
"RinaWarp Pro Bundle","Pro Bundle Yearly","89900","usd","year","price_1SKt33GZrRdZy3W9rTRRtKyw"
"RinaWarp Pro Bundle","Pro Bundle Monthly","9900","usd","month","price_1SKt32GZrRdZy3W9oc2fusT5"
"RinaWarp Creator Bundle","Creator Bundle Yearly","43900","usd","year","price_1SKt32GZrRdZy3W9Yf1NDT65"
"RinaWarp Creator Bundle","Creator Bundle Monthly","4900","usd","month","price_1SKt32GZrRdZy3W9MHLpKTGW"
"AMVC Credits — Large (280 min 720p-eq)","Credits $199","19900","usd","one_time","price_1SKt31GZrRdZy3W9HPQ1wjma"
"AMVC Credits — Medium (120 min 720p-eq)","Credits $99","9900","usd","one_time","price_1SKt30GZrRdZy3W9pOqIW7Sp"
"AMVC Credits — Small (50 min 720p-eq)","Credits $49","4900","usd","one_time","price_1SKt30GZrRdZy3W9Crf3K4Gn"
"AI Music Video Creator — Studio","Studio Yearly","179900","usd","year","price_1SKt2zGZrRdZy3W9UChx81KF"
"AI Music Video Creator — Studio","Studio Monthly","19900","usd","month","price_1SKt2yGZrRdZy3W9fy52HWsn"
"AI Music Video Creator — Pro","Pro Yearly","69900","usd","year","price_1SKt2yGZrRdZy3W9gRC6lkZY"
"AI Music Video Creator — Pro","Pro Monthly","7900","usd","month","price_1SKt2yGZrRdZy3W9uMctUOxI"
"AI Music Video Creator — Creator","Creator Yearly","25900","usd","year","price_1SKt2xGZrRdZy3W9yTYFclAH"
"AI Music Video Creator — Creator","Creator Monthly","2900","usd","month","price_1SKt2xGZrRdZy3W9krFbsGCS"
